name,year,miles,color,condition,price
Honda CR-V,2015,"104,728 miles","White exterior, Unknown interior","No accidents reported, 4 Owners","$15,891"
Mercedes-Benz GLE,2021,"36,225 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$42,997"
Honda Pilot,2022,"25,031 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,408"
Jeep Gladiator,2020,"44,093 miles","White exterior, Black interior","No accidents reported, 2 Owners","$30,986"
Ford Explorer,2021,"47,507 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,998"
Toyota Tacoma,2022,"18,137 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$33,520"
Audi Q3,2021,"18,982 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,993"
INFINITI Q50,2020,"55,039 miles","Black exterior, Gray interior","1 accident reported, 2 Owners","$22,597"
Mercedes-Benz SLK,2012,"66,614 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,999"
Toyota Sienna,2021,"44,459 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$37,895"
BMW X1,2017,"75,133 miles","Black exterior, Black interior","1 accident reported, 4 Owners","$14,400"
Honda Accord,2020,"107,595 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,330"
Toyota RAV4,2018,"70,041 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$22,998"
Kia Forte,2021,"31,460 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$17,804"
Dodge Challenger,2015,"85,799 miles","Black exterior, Black interior","4 accidents reported, 3 Owners","$19,200"
Toyota Camry,2017,"36,663 miles","Silver exterior, Unknown interior","3 accidents reported, 1 Owner","$19,998"
Porsche Cayman,2008,"84,960 miles","Gray exterior, Unknown interior","No accidents reported, 0 Owners","$26,895"
Land Rover Range Rover,2017,"51,250 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$40,000"
Ford F-150,2014,"92,666 miles","Black exterior, Gray interior","No accidents reported, 2 Owners","$18,995"
Audi A8,2013,"51,583 miles","White exterior, Black interior","1 accident reported, 2 Owners","$17,499"
Chevrolet Tahoe,2023,"3,924 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$64,150"
Audi A3,2023,"2,521 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Lexus RX,2016,"55,541 miles","White exterior, Brown interior","2 accidents reported, 1 Owner","$24,999"
Dodge Grand Caravan,2019,"58,361 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$17,600"
Mercedes-Benz E-Class,2021,"15,900 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$36,591"
Volvo S90,2019,"30,202 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$26,989"
Volkswagen Tiguan,2013,"107,311 miles","White exterior, Black interior","No accidents reported, 3 Owners","$7,995"
Cadillac Escalade,2022,"16,010 miles","White exterior, Black interior","No accidents reported, 1 Owner","$99,995"
Ford Escape,2020,"14,991 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$21,998"
Mercedes-Benz C-Class,2021,"21,123 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$28,998"
Kia Forte,2019,"53,113 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$15,695"
Nissan Sentra,2022,"7,296 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,999"
INFINITI QX60,2019,"66,885 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$21,498"
Toyota RAV4 Prime,2021,"37,418 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$37,991"
Ford Edge,2020,"9,494 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,795"
Subaru Forester,2021,"8,879 miles","Green exterior, Gray interior","No accidents reported, 1 Owner","$26,065"
Audi allroad,2013,"86,955 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$15,998"
Honda Accord,2019,"4,148 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$20,998"
Audi allroad,2013,"86,955 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$15,998"
BMW X3,2021,"25,621 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,498"
Subaru Outback,2020,"69,006 miles","White exterior, Brown interior","No accidents reported, 2 Owners","$24,323"
Dodge Journey,2018,"73,637 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$10,999"
Toyota RAV4,2022,"77,425 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,898"
Honda Civic,2012,"100,774 miles","Blue exterior, Gray interior","No accidents reported, 2 Owners","$9,900"
Toyota RAV4,2022,"38,375 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$24,988"
Subaru Impreza,2015,"80,234 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$14,998"
Hyundai Tucson,2018,"93,594 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,998"
Mazda CX-5,2020,"42,700 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$23,998"
Nissan Altima,2022,"5,165 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,998"
Chevrolet Tahoe,2011,"105,208 miles","Black exterior, Black interior","4 accidents reported, 3 Owners","$15,995"
Lexus ES,2022,"14,130 miles","White exterior, Black interior","No accidents reported, 1 Owner","$35,821"
BMW 3 Series,2020,"24,655 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$29,998"
Honda CR-V,2012,"91,988 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$12,495"
Jaguar XJ,2018,"30,267 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$32,991"
Mazda CX-9,2015,"81,726 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$16,998"
Subaru Forester,2020,"50,162 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Chevrolet Trailblazer,2022,"5,086 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,488"
Lexus NX,2019,"37,294 miles","Unknown exterior, Black interior","No accidents reported, 1 Owner","$28,300"
Hyundai Santa Fe,2020,"24,134 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Mercedes-Benz C-Class,2017,"39,640 miles","Black exterior, Beige interior","2 accidents reported, 2 Owners","$18,995"
INFINITI QX50,2020,"28,312 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$26,498"
BMW X3,2021,"40,812 miles","White exterior, Black interior","1 accident reported, 1 Owner","$29,411"
Toyota Mirai,2019,"23,390 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$13,495"
Toyota Camry,2014,"117,455 miles","White exterior, Black interior","No accidents reported, 3 Owners","$10,495"
Nissan Versa,2021,"61,306 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$15,288"
Toyota Corolla,2022,"53,358 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$17,888"
Subaru Outback,2021,"24,585 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$28,998"
BMW X5,2018,"35,165 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Toyota Prius c,2018,"77,042 miles","Black exterior, Black interior","3 accidents reported, 1 Owner","$12,999"
Volkswagen Jetta,2016,"121,571 miles","Gray exterior, Black interior","1 accident reported, 3 Owners","$7,885"
Kia K5,2021,"37,366 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$18,995"
Porsche Cayman,2007,"102,373 miles","Silver exterior, Black interior","No accidents reported, 4 Owners","$16,981"
Honda Pilot,2023,"5,562 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$50,222"
Chevrolet Camaro,2014,"103,796 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$9,499"
Mercedes-Benz GLE,2021,"27,163 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$41,433"
Volkswagen Jetta,2021,"37,147 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,782"
Ford Bronco Sport,2022,"5,335 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$26,495"
Alfa Romeo Stelvio,2022,88 miles,"Gray exterior, Black interior","No accidents reported, 1 Owner","$30,459"
Mercedes-Benz C-Class,2023,"9,165 miles","Gray exterior, Brown interior","No accidents reported, 1 Owner","$47,908"
Lexus ES,2021,"21,289 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$37,998"
Mercedes-Benz C-Class,2023,"7,663 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$39,777"
Honda Civic,2014,"103,064 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$11,500"
Mercedes-Benz GLA,2021,"27,219 miles","White exterior, Black interior","No accidents reported, 1 Owner","$29,997"
Toyota Tacoma,2015,"87,121 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$21,499"
Chrysler Town & Country,2016,"108,178 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$11,998"
Toyota Corolla,2021,"64,606 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$15,995"
Mercedes-Benz C-Class,2016,"127,746 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$11,990"
Saturn Aura,2007,"63,951 miles","Gray exterior, Beige interior","No accidents reported, 2 Owners","$5,599"
Honda Civic,2013,"124,932 miles","Black exterior, Black interior","2 accidents reported, 5 Owners","$11,268"
Chevrolet Malibu,2020,"26,610 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$20,998"
Audi Q5,2020,"13,984 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$33,888"
Nissan Altima,2021,"58,885 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,993"
Subaru Outback,2020,"49,318 miles","Silver exterior, Gray interior","2 accidents reported, 1 Owner","$23,998"
Kia Forte,2017,"52,456 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$12,495"
Mercedes-Benz GLE,2021,"33,257 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$39,591"
Honda Civic,2022,"10,805 miles","Blue exterior, Unknown interior","No accidents reported, 1 Owner","$25,995"
Jeep Grand Cherokee WK,2021,"61,058 miles","White exterior, Black interior","1 accident reported, 1 Owner","$24,998"
Hyundai Sonata,2012,"109,989 miles","Black exterior, Gray interior","No accidents reported, 3 Owners","$11,998"
Toyota Corolla,2020,"23,460 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$20,495"
Honda Civic,2020,"20,202 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$18,995"
Volvo XC90,2021,"29,141 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$38,993"
BMW 3 Series,2014,"55,079 miles","White exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Mercedes-Benz CLA,2014,"58,783 miles","White exterior, Black interior","No accidents reported, 1 Owner","$16,999"
Kia Sportage,2021,"20,863 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$18,441"
Chevrolet Suburban,2022,"63,673 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$52,400"
Nissan Maxima,2017,"90,382 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Ford Escape,2019,"69,418 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$14,900"
Mercedes-Benz E-Class,2020,"4,339 miles","White exterior, Black interior","No accidents reported, 1 Owner","$39,460"
Toyota Highlander,2021,"34,955 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$33,994"
Audi A5,2015,"105,026 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$14,995"
Mercedes-Benz GLE,2017,"52,826 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$23,499"
Honda Civic,2016,"71,406 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$16,498"
Honda Accord,2021,"43,043 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$25,981"
Subaru Forester,2017,"99,241 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$14,948"
Chevrolet Silverado 1500,2022,"17,657 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,998"
Honda Accord,2021,"35,442 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$24,998"
Ford Explorer,2022,"10,608 miles","White exterior, Black interior","No accidents reported, 1 Owner","$45,828"
BMW 4 Series,2021,"17,815 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$43,496"
Chevrolet Trailblazer,2022,"47,162 miles","White exterior, Black interior","No accidents reported, 2 Owners","$23,998"
Hyundai Elantra,2020,"28,846 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$18,998"
Mercedes-Benz E-Class,2020,"4,339 miles","White exterior, Black interior","No accidents reported, 1 Owner","$39,460"
Subaru Forester,2021,"46,578 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$21,388"
BMW X5,2022,"33,541 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$43,379"
Subaru Crosstrek,2022,"39,427 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$23,300"
Toyota Prius,2021,"42,749 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$22,990"
Mercedes-Benz E-Class,2012,"97,196 miles","Silver exterior, Black interior","1 accident reported, 3 Owners","$11,850"
Toyota GR Supra,2023,"6,023 miles","Yellow exterior, Black interior","No accidents reported, 1 Owner","$57,444"
Chevrolet Equinox,2020,"28,980 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,795"
Subaru Outback,2022,"19,733 miles","Black exterior, Gray interior","1 accident reported, 3 Owners","$29,998"
Mercedes-Benz GL,2015,"94,152 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$22,499"
Subaru Outback,2023,"7,345 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$34,900"
BMW X1,2015,"115,152 miles","Black exterior, Brown interior","1 accident reported, 2 Owners","$11,495"
Toyota Camry,2020,"23,599 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$20,555"
Ford Transit Cargo Van,2020,"128,682 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$21,995"
Hyundai Santa Fe Sport,2018,"30,035 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$19,998"
Ford Fusion,2018,"61,962 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$14,788"
Audi Q5,2022,"10,969 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$36,993"
BMW 3 Series,2015,"117,179 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$7,695"
Volkswagen Tiguan,2021,"41,030 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,999"
Mercedes-Benz C-Class,2017,"84,780 miles","Gray exterior, Blue interior","No accidents reported, 2 Owners","$18,182"
Mercedes-Benz R-Class,2012,"163,810 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$8,995"
Toyota Corolla,2021,"62,758 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$16,900"
Honda Pilot,2012,"84,011 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Ford Escape,2009,"96,991 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$7,900"
MINI Hardtop,2021,"31,100 miles","White exterior, Black interior","1 accident reported, 1 Owner","$19,999"
Ford EcoSport,2018,"49,941 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$13,977"
Mercedes-Benz GLC,2020,"38,981 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$26,518"
Land Rover Range Rover Evoque,2020,"63,634 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,888"
BMW 5 Series,2023,"6,056 miles","White exterior, Black interior","No accidents reported, 1 Owner","$49,317"
Mercedes-Benz GLC,2021,"17,605 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,997"
Land Rover LR4,2012,"95,372 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$15,995"
Mercedes-Benz C-Class,2017,"56,536 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$18,995"
Ford Transit Cargo Van,2019,"52,902 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$34,997"
Toyota RAV4,2021,"41,484 miles","Red exterior, Brown interior","No accidents reported, 1 Owner","$36,998"
Ford Escape,2019,"76,075 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$13,995"
Audi A5,2023,"1,751 miles","White exterior, Black interior","No accidents reported, 1 Owner","$46,286"
Jaguar F-PACE,2020,"26,515 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$30,994"
Jeep Wrangler,2018,"28,546 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$34,998"
Ford F-150,2004,"90,679 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$10,900"
Nissan Maxima,2014,"122,642 miles","Blue exterior, Black interior","1 accident reported, 2 Owners","$8,995"
Mercedes-Benz C-Class,2020,"28,001 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$27,680"
Chevrolet Tahoe,2023,"14,724 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$70,000"
Jeep Grand Cherokee,2020,"64,488 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,497"
Ford Explorer,2020,"50,975 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$21,120"
Toyota Camry,2022,"31,535 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,899"
BMW 3 Series,2016,"70,102 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$14,999"
Ford Bronco Sport,2021,"57,497 miles","Red exterior, Black interior","1 accident reported, 1 Owner","$25,998"
Mercedes-Benz SLC,2017,"57,090 miles","Black exterior, Red interior","1 accident reported, 3 Owners","$22,500"
Ford F-150,2020,"108,847 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$22,900"
BMW 3 Series,2018,"56,467 miles","White exterior, Black interior","1 accident reported, 2 Owners","$22,998"
Audi Q7,2023,"2,403 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$54,664"
Dodge Challenger,2013,"125,240 miles","Black exterior, Gray interior","1 accident reported, 2 Owners","$11,988"
Subaru Outback,2020,"56,974 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$21,495"
Nissan Rogue,2021,"10,868 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$23,991"
Audi Q3,2020,"25,933 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$29,998"
Chevrolet Silverado 1500,2017,"64,185 miles","White exterior, Black interior","3 accidents reported, 1 Owner","$30,300"
BMW 3 Series,2021,"7,800 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$30,999"
BMW M5,2007,"119,568 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners","$16,400"
Land Rover Range Rover Sport,2016,"64,238 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,888"
Nissan Sentra,2015,"56,977 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$14,998"
Subaru Crosstrek,2021,"34,409 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,100"
Ford F-150,2019,"44,978 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,795"
Kia K5,2021,"37,982 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,000"
Toyota Tacoma,2019,"38,701 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$24,995"
Ford F-150,2019,"70,897 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$29,998"
Honda Odyssey,2021,"20,336 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$35,448"
Kia Optima,2020,"40,236 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,288"
Ford Escape,2020,"12,789 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$22,998"
Toyota Corolla,2020,"32,544 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$19,498"
Toyota Prius,2015,"94,528 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$16,998"
Mercedes-Benz GLC,2019,"13,520 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$28,495"
Honda Civic,2019,"31,114 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$21,998"
Ford F-150,2020,"73,920 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$27,998"
Toyota Avalon,2022,"35,234 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$23,899"
Chevrolet Silverado 2500,2004,"47,395 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$19,500"
Nissan Sentra,2020,"95,604 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$13,988"
Toyota Sienna,2016,"91,789 miles","Gray exterior, Gray interior","2 accidents reported, 3 Owners","$19,998"
Ford Explorer,2021,"9,876 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$31,486"
Porsche Macan,2021,"20,658 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$42,998"
Kia Forte,2021,"27,187 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,995"
Hyundai Santa Fe,2020,"27,814 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$20,987"
Volkswagen Tiguan,2015,"71,416 miles","Tan exterior, Black interior","No accidents reported, 3 Owners","$15,998"
BMW 5 Series,2014,"105,006 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$11,261"
Honda CR-V,2021,"52,821 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$22,501"
Honda Odyssey,2020,"26,469 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$31,997"
Mercedes-Benz M-Class,2012,"130,708 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$8,991"
Pontiac Solstice,2008,"79,559 miles","Black exterior, Black interior","No accidents reported, 5 Owners","$11,795"
Mercedes-Benz CLA,2023,"7,023 miles","White exterior, Black interior","No accidents reported, 1 Owner","$37,777"
Chevrolet Malibu,2022,"32,265 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Porsche Macan,2021,"35,286 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$48,998"
Mercedes-Benz GLC,2021,"25,030 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$29,933"
Volkswagen Jetta,2015,"91,736 miles","Black exterior, Black interior","1 accident reported, 4 Owners","$8,995"
Audi A5,2023,"6,091 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,462"
Toyota RAV4,2021,"34,135 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$25,727"
Lexus IS,2015,"55,056 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$22,495"
Audi A6,2023,"3,119 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$49,997"
Toyota Camry,2018,"76,480 miles","White exterior, Black interior","No accidents reported, 2 Owners","$17,929"
BMW X7,2022,"27,091 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$58,533"
MINI Countryman,2012,"100,025 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$8,995"
Hyundai Sonata,2017,"132,076 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$8,569"
Hyundai NEXO,2020,"34,563 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$12,950"
Honda Civic,2021,"19,299 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$18,998"
Volvo S60,2018,"55,196 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$18,975"
Acura MDX,2022,"41,907 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,965"
Subaru Outback,2023,"4,001 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$31,989"
Volkswagen Jetta,2020,"50,867 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,331"
Honda Civic,2020,"36,858 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$21,998"
Chevrolet Traverse,2013,"125,196 miles","White exterior, Black interior","1 accident reported, 5 Owners","$10,995"
Mercedes-Benz GLC,2020,"36,064 miles","White exterior, Unknown interior","1 accident reported, 1 Owner","$26,839"
Toyota RAV4,2021,"62,935 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$22,998"
Subaru Forester,2021,"24,736 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$22,679"
Audi A6,2017,"71,003 miles","Blue exterior, Brown interior","1 accident reported, 2 Owners","$15,999"
Toyota Camry,2020,"39,362 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$21,222"
Mitsubishi Outlander,2019,"56,038 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$19,896"
Jeep Wrangler,2018,"44,099 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$30,998"
Mercedes-Benz C-Class,2018,"49,903 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$22,998"
Toyota Prius,2014,"110,915 miles","Gray exterior, Gray interior","No accidents reported, 3 Owners","$13,695"
BMW X3,2020,"25,887 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$27,411"
Toyota Camry,2021,"52,534 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,073"
Toyota Corolla,2021,"63,321 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$18,794"
Ford Explorer,2021,"17,302 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$32,998"
Mercedes-Benz E-Class,2020,"22,338 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$43,014"
Subaru Outback,2020,"49,318 miles","Silver exterior, Gray interior","2 accidents reported, 1 Owner","$23,998"
Nissan Versa,2017,"87,358 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$8,488"
Nissan Sentra,2017,"83,097 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$8,995"
Honda CR-V,2020,"74,031 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$23,998"
Jeep Wrangler,2019,"30,170 miles","White exterior, Black interior","No accidents reported, 1 Owner","$29,998"
Mercedes-Benz C-Class,2020,"37,120 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$28,222"
Mercedes-Benz A-Class,2020,"16,946 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$25,997"
Acura TLX,2018,"53,680 miles","White exterior, Black interior","No accidents reported, 3 Owners","$21,999"
BMW 5 Series,2023,"6,056 miles","White exterior, Black interior","No accidents reported, 1 Owner","$49,317"
Chrysler Town & Country,2016,"51,756 miles","Silver exterior, Black interior","2 accidents reported, 2 Owners","$18,998"
Volkswagen Jetta,2020,"53,724 miles","White exterior, Black interior","1 accident reported, 1 Owner","$16,790"
Volkswagen Jetta,2019,"55,802 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Porsche Macan,2020,"27,002 miles","White exterior, Black interior","No accidents reported, 2 Owners","$39,998"
Acura RDX,2023,"3,057 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$38,777"
Toyota Prius Prime,2021,"32,835 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,498"
Ford Fusion,2015,"83,650 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$11,995"
Honda HR-V,2023,"3,590 miles","Unknown exterior, Gray interior","No accidents reported, 1 Owner","$24,480"
Mercedes-Benz GLK,2014,"89,332 miles","Black exterior, Brown interior","No accidents reported, 3 Owners","$12,989"
Mercedes-Benz C-Class,2015,"81,970 miles","White exterior, Unknown interior","2 accidents reported, 3 Owners","$14,495"
Ford Escape,2020,"36,158 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$16,988"
Toyota RAV4 Prime,2021,"13,159 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$42,294"
Subaru Ascent,2021,"23,805 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$30,000"
Toyota Camry,2013,"171,456 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$10,495"
Land Rover Range Rover,2015,"89,338 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,900"
Toyota Highlander,2021,"16,775 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$40,222"
Mercedes-Benz GLE,2021,"22,944 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$47,157"
